"Region: PAC"
"Geographic Zones: S La Jolla - Tijuana"
"Survey Types: Fish Only, Invertebrates Only, Fish &amp; Invertebrates"
"Dates: 1/1/93 - 1/4/21"
"Total Surveys: 1115"
"#Species Reported: 194"
"Average Species Reported on a Survey by Expert Surveyors: 22.36"
"Average Species Reported on a Survey by Novice Surveyors: 16.38"
"Survey Type: FO = Fish Only; IO = Invertebrates Only; FI = Fish &amp; Invertebrates - <a href="/interpreting-reef-data" target="_blank">How to interpret REEF data?</a>"
"Expand all"
"Collapse all"
"Click a column header to sort by that column. Hold shift and click to sort by multiple columns"
,,Surveys,,,,,,"Bottom Time"
,,Expert,,,Novice,,,
Code,Name,FO,IO,FI,FO,IO,FI,(H:M)
4,CALIFORNIA,14,0,433,176,29,463,879:53
42,"SOUTHERN CALIFORNIA",14,0,433,176,29,463,879:53
4207,"S La Jolla - Tijuana",14,0,433,176,29,463,879:53
420701,"Mission Beach",10,0,298,78,15,242,567:52
42070100,"Mission Beach General Area - no site specified",0,0,0,1,0,0,0:45
42070101,"Ruby E",1,0,19,17,0,41,41:37
42070102,"HMCS Yukon",3,0,43,30,7,69,86:58
42070103,"Hospitality Point (Mission Bay)",3,0,33,1,0,3,43:35
42070104,"El Ray",0,0,0,5,0,2,4:09
42070105,"NOSC  Tower",0,0,7,4,1,19,19:52
42070106,"Ingraham Street Bridge",0,0,5,0,1,4,6:20
42070107,"Bonita Cove (Mission Bay Park)",0,0,0,0,0,5,5:20
42070108,"Mission Beach Artificial Reef (b/t Ingraham St. Bridge & NOSC)",0,0,0,1,0,11,10:04
42070109,"Mariners Basin (Mission Bay)",1,0,0,2,0,19,19:25
42070110,"Mission Point from beach",2,0,15,10,0,37,70:33
42070111,"Mission Point Southside of jetty",0,0,12,3,1,17,45:49
42070113,"Mission Point off Bayside Lane",0,0,103,1,5,7,129:37
42070114,"Mission Bay Inlet (along parking lot)",0,0,60,0,0,7,79:36
42070115,"South Mission Beach (North side of Jetty)",0,0,1,2,0,0,2:25
42070116,"Ventura Cove (Mission Bay)",0,0,0,1,0,1,1:47
420702,"Point Loma",1,0,132,97,13,212,300:21
42070200,"Pt. Loma General Area - no site specified",0,0,1,3,0,0,2:30
42070201,"Pt. Loma Kelp Beds",0,0,16,37,2,50,70:31
42070204,"2000 Times",0,0,0,9,0,0,6:24
42070205,"New Hope Reef",0,0,2,11,0,0,9:34
42070206,"Kelp Cabo Reef (Point Loma)",0,0,0,5,2,9,10:47
42070207,"Ancient Sea Cliffs",0,0,9,7,0,7,13:44
42070208,"Three Fingers Reef",0,0,3,0,0,15,11:58
42070209,"Train Wheels / The Crack",0,0,8,0,2,10,12:38
42070210,"Sunset Cliffs Pt. Loma",0,0,0,0,0,5,2:52
42070211,"Pt. Loma - general rocky reefs",1,0,1,2,2,12,14:32
42070212,"Dragon Head Wall",0,0,0,1,1,4,4:09
42070213,"Lazy Days Wreck",0,0,3,3,0,11,9:59
42070214,"3 Hole (SW of Point Loma)",0,0,0,0,0,3,2:01
42070215,"Broomtail Reef",0,0,0,4,0,4,6:39
42070216,"Kinane Pass",0,0,2,0,0,3,2:46
42070217,"Main Channel Point Loma Kelp Beds",0,0,4,2,2,23,21:15
42070218,Horsehead,0,0,2,0,0,3,3:17
42070219,"Green Tank",0,0,0,1,0,3,2:11
42070220,"Point Loma Main Wall ",0,0,4,2,1,6,7:17
42070221,"Point Loma Dino Head ",0,0,6,6,1,11,14:43
42070222,"NRAD West",0,0,1,3,0,5,6:05
42070223,"New Hope Rock (Pt. Loma Kelp Beds)",0,0,1,0,0,4,3:25
42070224,"Seven Fathoms - 7 Fathoms (Point Loma)",0,0,6,0,0,5,6:40
42070225,"Table Tops - Point Loma",0,0,7,0,0,2,7:04
42070226,"Goat Point - Point Loma",0,0,0,0,0,1,0:47
42070227,Flagpole,0,0,0,1,0,1,1:30
42070228,"N-ROD (not N-RAD)",0,0,4,0,0,0,2:17
42070229,"Brian's Boulder",0,0,2,0,0,0,1:14
42070230,"Conner's Canyon",0,0,13,0,0,2,9:34
42070232,"Lost City",0,0,5,0,0,0,3:20
42070233,"Callie's Windows",0,0,1,0,0,0,0:28
42070234,"Point Loma Sewage Outfall Pipe",0,0,1,0,0,2,1:58
42070235,"Chelsea Lee Reef",0,0,4,0,0,0,2:01
42070236,"Rod's Ridge",0,0,4,0,0,0,2:05
42070237,"High Point (Point Loma)",0,0,5,0,0,0,3:22
42070238,"Dark Forest (Point Loma)",0,0,8,0,0,2,7:40
42070239,"High Spot (Point Loma)",0,0,2,0,0,0,1:07
42070240,"Chris's Rock",0,0,3,0,0,0,1:53
42070241,"Six Fathoms",0,0,4,0,0,5,5:41
42070242,"Rock Rol (Pt. Loma Kelp Beds)",0,0,0,0,0,2,1:07
42070243,"Lucky Strike",0,0,0,0,0,1,0:30
42070244,"Goal Post",0,0,0,0,0,1,0:46
